date,category,total_cases,reported,spk_issued,invoice,paid,pct_reported,pct_spk,pct_invoice,pct_paid
2026-05-11,nongrab_sinarmas,150.0,150.0,150.0,145.0,0.0,100.0,100.0,96.67,0.0
2026-05-11,grab_allrisk,23.0,23.0,23.0,22.0,0.0,100.0,100.0,95.65,0.0
2026-05-11,nongrab_allrisk,1780.0,1636.0,1358.0,755.0,244.0,91.91,76.29,42.42,13.71
2026-05-12,grab_oona,2335.0,2335.0,2258.0,2250.0,1445.0,100.0,96.7,96.36,61.88
2026-05-12,grab_avrist,1729.0,1729.0,1659.0,1659.0,1320.0,100.0,95.95,95.95,76.34
2026-05-12,nongrab_oona,70.0,70.0,70.0,69.0,0.0,100.0,100.0,98.57,0.0
2026-05-12,nongrab_avrist,356.0,356.0,349.0,348.0,125.0,100.0,98.03,97.75,35.11
2026-05-12,nongrab_sinarmas,157.0,157.0,157.0,152.0,0.0,100.0,100.0,96.82,0.0
2026-05-12,grab_allrisk,23.0,23.0,23.0,22.0,0.0,100.0,100.0,95.65,0.0
2026-05-12,nongrab_allrisk,1799.0,1654.0,1358.0,755.0,345.0,91.94,75.49,41.97,19.18
2026-05-13,grab_oona,2369.0,2369.0,2291.0,2283.0,1445.0,100.0,96.71,96.37,61.0
2026-05-13,grab_avrist,1743.0,1743.0,1672.0,1672.0,1320.0,100.0,95.93,95.93,75.73
2026-05-13,nongrab_oona,73.0,73.0,73.0,72.0,0.0,100.0,100.0,98.63,0.0
2026-05-13,nongrab_avrist,366.0,366.0,359.0,358.0,125.0,100.0,98.09,97.81,34.15
2026-05-13,nongrab_sinarmas,162.0,162.0,162.0,157.0,0.0,100.0,100.0,96.91,0.0
2026-05-13,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-13,nongrab_allrisk,1816.0,1688.0,1384.0,818.0,345.0,92.95,76.21,45.04,19.0
2026-05-14,grab_oona,2374.0,2374.0,2296.0,2288.0,1445.0,100.0,96.71,96.38,60.87
2026-05-14,grab_avrist,1747.0,1747.0,1676.0,1676.0,1320.0,100.0,95.94,95.94,75.56
2026-05-14,nongrab_oona,73.0,73.0,73.0,72.0,0.0,100.0,100.0,98.63,0.0
2026-05-14,nongrab_avrist,367.0,367.0,360.0,359.0,125.0,100.0,98.09,97.82,34.06
2026-05-14,nongrab_sinarmas,162.0,162.0,162.0,157.0,0.0,100.0,100.0,96.91,0.0
2026-05-14,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-14,nongrab_allrisk,1820.0,1688.0,1386.0,818.0,345.0,92.75,76.15,44.95,18.96
2026-05-15,grab_oona,2395.0,2395.0,2316.0,2307.0,1445.0,100.0,96.7,96.33,60.33
2026-05-15,grab_avrist,1758.0,1758.0,1686.0,1686.0,1320.0,100.0,95.9,95.9,75.09
2026-05-15,nongrab_oona,75.0,75.0,75.0,73.0,0.0,100.0,100.0,97.33,0.0
2026-05-15,nongrab_avrist,374.0,374.0,367.0,366.0,125.0,100.0,98.13,97.86,33.42
2026-05-15,nongrab_sinarmas,163.0,163.0,163.0,158.0,0.0,100.0,100.0,96.93,0.0
2026-05-15,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-15,nongrab_allrisk,1833.0,1711.0,1407.0,844.0,345.0,93.34,76.76,46.04,18.82
2026-05-16,grab_oona,2417.0,2417.0,2337.0,2328.0,1445.0,100.0,96.69,96.32,59.78
2026-05-16,grab_avrist,1769.0,1769.0,1696.0,1696.0,1320.0,100.0,95.87,95.87,74.62
2026-05-16,nongrab_oona,75.0,75.0,75.0,73.0,0.0,100.0,100.0,97.33,0.0
2026-05-16,nongrab_avrist,380.0,380.0,373.0,372.0,125.0,100.0,98.16,97.89,32.89
2026-05-16,nongrab_sinarmas,168.0,168.0,168.0,163.0,0.0,100.0,100.0,97.02,0.0
2026-05-16,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-16,nongrab_allrisk,1844.0,1711.0,1407.0,844.0,345.0,92.79,76.3,45.77,18.71
2026-05-17,grab_oona,2423.0,2423.0,2343.0,2334.0,1445.0,100.0,96.7,96.33,59.64
2026-05-17,grab_avrist,1774.0,1774.0,1701.0,1701.0,1320.0,100.0,95.89,95.89,74.41
2026-05-17,nongrab_oona,75.0,75.0,75.0,73.0,0.0,100.0,100.0,97.33,0.0
2026-05-17,nongrab_avrist,380.0,380.0,373.0,372.0,125.0,100.0,98.16,97.89,32.89
2026-05-17,nongrab_sinarmas,169.0,169.0,169.0,164.0,0.0,100.0,100.0,97.04,0.0
2026-05-17,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-17,nongrab_allrisk,1849.0,1711.0,1407.0,845.0,345.0,92.54,76.1,45.7,18.66
2026-05-18,grab_oona,2461.0,2461.0,2378.0,2369.0,1445.0,100.0,96.63,96.26,58.72
2026-05-18,grab_avrist,1788.0,1788.0,1712.0,1712.0,1320.0,100.0,95.75,95.75,73.83
2026-05-18,nongrab_oona,76.0,76.0,76.0,74.0,0.0,100.0,100.0,97.37,0.0
2026-05-18,nongrab_avrist,395.0,395.0,388.0,387.0,125.0,100.0,98.23,97.97,31.65
2026-05-18,nongrab_sinarmas,177.0,177.0,177.0,172.0,0.0,100.0,100.0,97.18,0.0
2026-05-18,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-18,nongrab_allrisk,1864.0,1711.0,1409.0,845.0,345.0,91.79,75.59,45.33,18.51
2026-05-19,grab_oona,2500.0,2500.0,2417.0,2408.0,1445.0,100.0,96.68,96.32,57.8
2026-05-19,grab_avrist,1802.0,1802.0,1726.0,1726.0,1320.0,100.0,95.78,95.78,73.25
2026-05-19,nongrab_oona,78.0,78.0,78.0,76.0,0.0,100.0,100.0,97.44,0.0
2026-05-19,nongrab_avrist,408.0,408.0,401.0,400.0,125.0,100.0,98.28,98.04,30.64
2026-05-19,nongrab_sinarmas,187.0,187.0,187.0,182.0,0.0,100.0,100.0,97.33,0.0
2026-05-19,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-19,nongrab_allrisk,1880.0,1739.0,1467.0,857.0,403.0,92.5,78.03,45.59,21.44
2026-05-20,grab_oona,2536.0,2536.0,2451.0,2442.0,1445.0,100.0,96.65,96.29,56.98
2026-05-20,grab_avrist,1816.0,1816.0,1739.0,1739.0,1320.0,100.0,95.76,95.76,72.69
2026-05-20,nongrab_oona,82.0,82.0,82.0,80.0,0.0,100.0,100.0,97.56,0.0
2026-05-20,nongrab_avrist,422.0,422.0,414.0,413.0,125.0,100.0,98.1,97.87,29.62
2026-05-20,nongrab_sinarmas,191.0,191.0,191.0,186.0,0.0,100.0,100.0,97.38,0.0
2026-05-20,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-20,nongrab_allrisk,1898.0,1747.0,1467.0,923.0,404.0,92.04,77.29,48.63,21.29
2026-05-21,grab_oona,2577.0,2577.0,2488.0,2479.0,1445.0,100.0,96.55,96.2,56.07
2026-05-21,grab_avrist,1834.0,1834.0,1753.0,1753.0,1320.0,100.0,95.58,95.58,71.97
2026-05-21,nongrab_oona,83.0,83.0,83.0,81.0,0.0,100.0,100.0,97.59,0.0
2026-05-21,nongrab_avrist,437.0,437.0,429.0,428.0,125.0,100.0,98.17,97.94,28.6
2026-05-21,nongrab_sinarmas,198.0,198.0,198.0,193.0,0.0,100.0,100.0,97.47,0.0
2026-05-21,grab_allrisk,25.0,25.0,25.0,24.0,0.0,100.0,100.0,96.0,0.0
2026-05-21,nongrab_allrisk,1917.0,1785.0,1505.0,961.0,408.0,93.11,78.51,50.13,21.28
2026-05-22,grab_oona,2599.0,2599.0,2510.0,2500.0,1445.0,100.0,96.58,96.19,55.6
2026-05-22,grab_avrist,1844.0,1844.0,1763.0,1763.0,1320.0,100.0,95.61,95.61,71.58
2026-05-22,nongrab_oona,83.0,83.0,83.0,81.0,0.0,100.0,100.0,97.59,0.0
